batch_date,origin_area_code,origin,via_id,destination_area_code,destination,devices,customers,people,length,line
4/1/2021,1121,Maharagama,218848664,3139,Galle,3,3,8,7235.549573,"LINESTRING(79.9892205 6.5687057, 79.9893063 6.5686185, 79.9895722 6.5684009, 79.9897945 6.5682557, 79.990481 6.5678803, 79.9907784 6.5677345, 79.9919432 6.5672443, 79.9920291 6.5672118, 79.9922277 6.5670745, 79.9926741 6.5665669, 79.9928141 6.5664176, 79.9930808 6.5661632, 79.9932023 6.5660743, 79.9935209 6.5658768, 79.993736 6.5657687, 79.9938841 6.5657222, 79.9946841 6.565577, 79.9949546 6.565577, 79.9951918 6.5656171, 79.9958782 6.5657836, 79.996152 6.5658569, 79.9964191 6.5658978, 79.9967094 6.5658991, 79.9975952 6.5658042, 79.9996409 6.5654237, 79.9998889 6.5653854, 80.0002764 6.5653321, 80.0004175 6.5652783, 80.0005203 6.5652391, 80.000969 6.5649643, 80.0010777 6.5649213, 80.0011465 6.564901, 80.0016848 6.5648491, 80.0018653 6.5648031, 80.0030093 6.5643743, 80.0034448 6.5642173, 80.0039178 6.5640807, 80.0043556 6.5640401, 80.0047137 6.564033, 80.0052413 6.5640014, 80.0058122 6.5640115, 80.0060344 6.5639942, 80.0062381 6.563962, 80.0064557 6.5638416, 80.0069233 6.5633951, 80.0076873 6.5627581, 80.0078523 6.5625322, 80.008017 6.5621747, 80.0081628 6.5619601, 80.0094688 6.5606014, 80.0098723 6.5600394, 80.0100002 6.5598977, 80.0100684 6.5598438, 80.0102573 6.5597153, 80.010486 6.5596477, 80.0115141 6.5595833, 80.0117254 6.5595136, 80.0118294 6.5594349, 80.0123171 6.5587274, 80.0133387 6.5573441, 80.0137434 6.5567999, 80.0138983 6.5565917, 80.0141974 6.5562697, 80.014405 6.5561167, 80.0147783 6.5559083, 80.0153433 6.55554, 80.0156306 6.5553592, 80.0159711 6.5552744, 80.0162364 6.5552055, 80.0164967 6.5550483, 80.0166255 6.5549245, 80.0169329 6.5545483, 80.0170866 6.5544005, 80.0174143 6.554176, 80.017935 6.5538283, 80.0182193 6.5536867, 80.0183568 6.5536394, 80.0185198 6.5536236, 80.0192157 6.5535411, 80.0196105 6.5534894, 80.0199844 6.5534876, 80.0201608 6.553527, 80.0203178 6.5535955, 80.0214192 6.5543036, 80.0215443 6.554363, 80.0217833 6.5544284, 80.0226169 6.5545196, 80.0232902 6.5545251, 80.0235929 6.5545842, 80.0238761 6.5546998, 80.0241364 6.554732, 80.0243436 6.5547065, 80.0245965 6.5545989, 80.0247833 6.5544619, 80.0250207 6.5542022, 80.0254409 6.5536061, 80.0256 6.5534406, 80.0265772 6.5528767, 80.0267668 6.5527452, 80.027282 6.5521326, 80.0274256 6.5519788, 80.0277637 6.5517038, 80.0280927 6.5514829, 80.0283906 6.5513238, 80.028589 6.5511864, 80.0288387 6.5508875, 80.0289952 6.5505678, 80.0291488 6.5501325, 80.0292588 6.5499485, 80.0293951 6.5498517, 80.029735 6.549754, 80.0298759 6.5496834, 80.0301401 6.5493813, 80.0302566 6.5492027, 80.0305188 6.5486209, 80.030593 6.548509, 80.0309453 6.548027, 80.0312941 6.5473939, 80.0314332 6.5472005, 80.0317384 6.546865, 80.0319053 6.5467584, 80.0322621 6.5466334, 80.0324479 6.5465316, 80.0327282 6.5462472, 80.0332672 6.5456564, 80.0337195 6.545105, 80.0342972 6.5444052, 80.0344282 6.5443149, 80.0345604 6.544265, 80.0350217 6.5442645, 80.0353306 6.5442285, 80.0357543 6.5439957, 80.0359352 6.5439239, 80.0365567 6.5438116, 80.0368528 6.5438033, 80.037129 6.5439047, 80.037418 6.5440377, 80.0376227 6.5440897, 80.0378369 6.5441003, 80.0380165 6.5440153, 80.0381606 6.5438732, 80.0382817 6.5437083, 80.0384561 6.5433349, 80.0385801 6.5431382, 80.0388148 6.5428984, 80.0389968 6.5427951, 80.0394881 6.5426817, 80.0397217 6.5425565, 80.0398503 6.5424319, 80.04003 6.5421267, 80.0401786 6.5420181, 80.0404686 6.5419548, 80.0413489 6.5419853, 80.0416743 6.5419669, 80.0423262 6.5418084, 80.0427538 6.5417812)"
4/1/2021,1121,Maharagama,398297674,3139,Galle,3,3,7,745.7896447,"LINESTRING(79.9083377 6.8576525, 79.9080547 6.8571693, 79.9079838 6.8570822, 79.9079268 6.8570172, 79.9078399 6.8569416, 79.9075364 6.8567144, 79.9074993 6.8566862, 79.9073281 6.856556, 79.9069369 6.8562314, 79.9067651 6.8560494, 79.9067159 6.8559887, 79.906674 6.8559269, 79.9066156 6.8558182, 79.9065829 6.8557499, 79.9065563 6.8556706, 79.9065382 6.8556146, 79.9065228 6.855536, 79.9064693 6.8550906, 79.9064584 6.8549932, 79.9063536 6.8544053, 79.9062288 6.8538285, 79.9061723 6.8536187, 79.90612 6.8533848, 79.9060422 6.853092, 79.9060038 6.8529715, 79.9059753 6.8528766, 79.905957 6.8528341, 79.9059229 6.8527538, 79.9058144 6.8524864, 79.9057264 6.852204, 79.9056524 6.8519531, 79.905623 6.8518513, 79.9056119 6.8517874)"
4/1/2021,1121,Maharagama,29478075,3139,Galle,3,3,8,1431.141059,"LINESTRING(79.9899902 6.8771554, 79.9897294 6.8773461, 79.98943 6.8775619, 79.9892719 6.8776728, 79.9888738 6.8779559, 79.9886499 6.8781218, 79.9883027 6.8783517, 79.9881291 6.8784704, 79.9878853 6.8785878, 79.9872706 6.8788335, 79.9868498 6.8789399, 79.9865778 6.8789811, 79.9862795 6.8790069, 79.9858513 6.8790801, 79.9856113 6.8791488, 79.9854086 6.879231, 79.9852007 6.8793431, 79.985142 6.879388, 79.9850763 6.8794383, 79.984841 6.8796347, 79.9845803 6.8799709, 79.9844793 6.8801268, 79.9841886 6.8805881, 79.9839299 6.8809277, 79.9838084 6.8810495, 79.9836685 6.881181, 79.9835263 6.8812608, 79.9833184 6.8813749, 79.9830447 6.8814974, 79.9826975 6.8815957, 79.9823573 6.8816967, 79.981916 6.8817976, 79.9816896 6.881848, 79.981475 6.8818949, 79.981197 6.8819628, 79.9809006 6.8820493, 79.9805143 6.8821851, 79.9799662 6.8824838, 79.9797338 6.8826431, 79.9795745 6.8827976, 79.9793342 6.882992, 79.9791127 6.883189, 79.9790216 6.8832529)"
4/1/2021,1121,Maharagama,5888188,3139,Galle,3,3,7,1931.679179,"LINESTRING(80.2036357 6.0591712, 80.2035212 6.0592639, 80.2033707 6.0593715, 80.2033051 6.059425, 80.2031949 6.0595044, 80.2031616 6.059523, 80.2030816 6.0595735, 80.2030061 6.0596193, 80.2029003 6.0596814, 80.2028072 6.0597245, 80.2026783 6.0598019, 80.2024806 6.0598801, 80.2023294 6.0599367, 80.2021694 6.0599628, 80.2019467 6.0599998, 80.2018301 6.0600194, 80.2015792 6.0600581, 80.2014819 6.060169, 80.2014652 6.0601881, 80.2014251 6.0602548, 80.201405 6.0602882, 80.2013245 6.0604135, 80.2011824 6.0606162, 80.2011246 6.0606896, 80.2009968 6.0609024, 80.2008665 6.0612204, 80.2008435 6.0612763, 80.2008438 6.0614256, 80.2008393 6.0616333, 80.2008281 6.0618381, 80.200736 6.0621823, 80.2006633 6.0623457, 80.2003411 6.062649, 80.2000697 6.0629507, 80.1999823 6.0630318, 80.1998279 6.0631955, 80.1997018 6.0633341, 80.1995919 6.0634268, 80.199573 6.0634497, 80.1994998 6.0635201, 80.1992726 6.0638329, 80.1992127 6.0639887, 80.1991372 6.0642196, 80.1990741 6.0644197, 80.1990292 6.064615, 80.1990028 6.0647112, 80.1989934 6.0647395, 80.1989495 6.0649025, 80.198881 6.0650385, 80.1986464 6.0652985, 80.1985511 6.0656332, 80.198468 6.065924, 80.1982909 6.0665774, 80.1982186 6.0667907, 80.1981997 6.0669428, 80.1982024 6.0671189, 80.1982239 6.067444, 80.1982293 6.067607, 80.1982296 6.0677141, 80.1982195 6.067801, 80.1981429 6.0680253, 80.1980978 6.068311, 80.1980976 6.0684996, 80.198122 6.0687538, 80.1981461 6.0688499, 80.1981673 6.0690118, 80.1981692 6.0692841, 80.1981806 6.0693462, 80.1982265 6.0697151, 80.1983315 6.0703529, 80.1983128 6.0705823, 80.1982296 6.0708848, 80.1980983 6.0711475, 80.1979065 6.0716337, 80.1978756 6.0718404, 80.1979279 6.0721884, 80.1979159 6.0724365, 80.1978408 6.0728848, 80.1978676 6.0730106, 80.1979316 6.0733104, 80.1979192 6.0737711, 80.1978741 6.0740139)"
4/1/2021,1121,Maharagama,98404027,3139,Galle,3,3,8,7202.235619,"LINESTRING(80.1739111 6.0637645, 80.1736943 6.0638522, 80.1735666 6.0639449, 80.1731838 6.064352, 80.1730149 6.0644934, 80.1728955 6.064582, 80.1721126 6.0650825, 80.1717833 6.065315, 80.1710813 6.0658586, 80.1703708 6.0664658, 80.1700451 6.0667061, 80.168776 6.0676626, 80.168264 6.0680169, 80.1672332 6.0687151, 80.1667731 6.0691264, 80.1661486 6.0697943, 80.1651268 6.0707041, 80.1645519 6.0711374, 80.1642897 6.0712734, 80.1639312 6.0714082, 80.1631009 6.0715551, 80.1622128 6.071832, 80.1619951 6.0719345, 80.1599926 6.0729031, 80.1591181 6.0733554, 80.158598 6.0736912, 80.1574144 6.0746626, 80.1563817 6.0754065, 80.1547704 6.0764048, 80.1540309 6.077085, 80.1539822 6.0771288, 80.1536281 6.0774463, 80.1534007 6.0775898, 80.1520311 6.0781528, 80.1518046 6.0782731, 80.1512255 6.0787372, 80.1502909 6.0797586, 80.1500672 6.0799715, 80.1493428 6.0804884, 80.1491612 6.0806435, 80.1490259 6.0807949, 80.1488401 6.0811771, 80.1487108 6.081677, 80.1486987 6.0819851, 80.1487625 6.0827726, 80.1487415 6.0830001, 80.1486598 6.0833716, 80.1486131 6.0834901, 80.1482112 6.0839776, 80.1479016 6.0842954, 80.1462948 6.0856433, 80.1461341 6.0858178, 80.1458438 6.0861768, 80.145644 6.0864894, 80.1455401 6.086711, 80.1453737 6.0871858, 80.1451937 6.0876743, 80.1450873 6.0878659, 80.1449034 6.088081, 80.1446446 6.0883299, 80.1444492 6.0884863, 80.144142 6.0886798, 80.1436871 6.0889226, 80.143537 6.0890376, 80.1433044 6.0892794, 80.14294 6.0897685, 80.1428401 6.0899083, 80.1426827 6.0901973, 80.1424474 6.0906308, 80.1422448 6.0908945, 80.1420586 6.0910941, 80.1415948 6.0915184, 80.1412921 6.0917742, 80.1410505 6.0919432, 80.1400204 6.0925573, 80.138306 6.0936267, 80.1381218 6.0937037, 80.1379805 6.0937628, 80.1372837 6.0938678, 80.1371086 6.0939398, 80.1368354 6.0941395, 80.1367203 6.0942498, 80.1365989 6.0943663, 80.1360205 6.0951031, 80.1352189 6.0961442, 80.1350266 6.0963335, 80.1347709 6.096501, 80.1337706 6.0969536, 80.1333178 6.0973373, 80.1327709 6.0978361, 80.1326801 6.0978889, 80.1322085 6.0980102, 80.1315666 6.0982335, 80.1309524 6.0985402, 80.1304159 6.0988549, 80.130204 6.0991003, 80.1296921 6.0999442, 80.1294333 6.1002549, 80.1291704 6.1004736, 80.1289371 6.1006363, 80.1280425 6.1011631, 80.127553 6.1016071, 80.1270206 6.1019125, 80.1268137 6.1020954, 80.1267565 6.1021772, 80.1266448 6.1025034, 80.1265673 6.1029286, 80.1263943 6.1037781, 80.1262118 6.1042561)"
4/1/2021,1121,Maharagama,342887341,3139,Galle,3,3,7,43.36980813,"LINESTRING(79.9408766 6.797766, 79.9408109 6.7976817, 79.9406012 6.7974894)"
4/1/2021,1121,Maharagama,22362995,3139,Galle,3,3,8,1896.449841,"LINESTRING(79.9259088 6.8442397, 79.9258961 6.8442062, 79.9258901 6.8441794, 79.9258729 6.844084, 79.9258576 6.8439619, 79.9258542 6.8438294, 79.9258595 6.8436495, 79.9258747 6.8434952, 79.9259057 6.8432816, 79.9259376 6.8431555, 79.9259749 6.8430644, 79.9260303 6.8429413, 79.9261181 6.8428138, 79.9263239 6.8425968, 79.9265175 6.8423907, 79.9266081 6.8422722, 79.9267773 6.8420399, 79.9269507 6.8418085, 79.927149 6.8415598, 79.9274236 6.8411939, 79.9276258 6.8409245, 79.9278805 6.8405982, 79.928126 6.8403046, 79.9284275 6.839962, 79.9289757 6.8394037, 79.9292207 6.8391648, 79.9295658 6.8388488, 79.9298648 6.8385704, 79.9300684 6.8383782, 79.930306 6.8381833, 79.930535 6.8379237, 79.930622 6.8377866, 79.9307685 6.8375289, 79.9308372 6.8373632, 79.9309283 6.8371455, 79.9309967 6.8369952, 79.931053 6.8369097, 79.9310954 6.8368533, 79.9311716 6.8367722, 79.9313614 6.8365955, 79.9314961 6.8365078, 79.9317669 6.8363356, 79.932342 6.835935, 79.9327267 6.8356573, 79.9329422 6.8355136, 79.9336291 6.8351365, 79.934151 6.8347755, 79.9344076 6.8345301, 79.9345668 6.8343593, 79.9346384 6.8342749, 79.9346861 6.8341896, 79.9347224 6.8340711, 79.9349011 6.8334329, 79.9350209 6.8329758, 79.93507 6.8327805, 79.9351032 6.8326449, 79.9351113 6.8325118, 79.9351012 6.8322412, 79.9350988 6.8319805, 79.9350986 6.8314757, 79.9351086 6.8310816, 79.9351145 6.8309521)"
4/1/2021,1121,Maharagama,52235257,3139,Galle,3,3,7,236.7128839,"LINESTRING(79.9406208 6.8039417, 79.9403429 6.8048088, 79.9399316 6.8059572)"
4/1/2021,1121,Maharagama,950067570,3139,Galle,3,3,7,14.16625589,"LINESTRING(79.9410765 6.7989417, 79.9410765 6.7988143)"
4/1/2021,1121,Maharagama,950067569,3139,Galle,3,3,7,121.2484476,"LINESTRING(79.9410765 6.7988143, 79.9410751 6.7987763, 79.9410021 6.797946, 79.9408766 6.797766)"
